sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,visibility,price,url_key,qty,bundle_values,bundle_price_type,bundle_price_view,bundle_sku_type,bundle_weight_type,bundle_shipment_type
bundle-roller,Default,simple,"Default Category/Gear,Default Category/Gear/Fitness Equipment",base,Sprite Foam Roller,A roller for training,A roller,0.1,1,"Catalog, Search",19,bundle-roller,100,,,,,,
bundle-brick,Default,simple,"Default Category/Gear,Default Category/Gear/Fitness Equipment",base,Sprite Foam Yoga Brick,A brick for training,A roller,0.1,1,"Catalog, Search",5,bundle-brick,100,,,,,,
bundle-backpack1,Default,simple,"Default Category/Gear,Default Category/Collections,Default Category/Gear/Bags",base,Endeavor Daytrip Backpack,A backpack for training gear,A backpack,0.1,1,"Catalog, Search",33,bundle-backpack1,100,,,,,,
bundle-backpack2,Default,simple,"Default Category/Gear,Default Category/Gear/Bags",base,Fusion Backpack,A backpack for training gear,A backpack,0.1,1,"Catalog, Search",59,bundle-backpack2,100,,,,,,
bundle-band1,Default,simple,"Default Category/Gear,Default Category/Gear/Fitness Equipment",base,Harmony Lumaflex&trade; Strength Band Kit,A band for training,A band,0.1,1,"Catalog, Search",22,bundle-band1,100,,,,,,
bundle-band2,Default,simple,"Default Category/Gear,Default Category/Gear/Fitness Equipment",base,Quest Lumaflex&trade; Band,A band for training,A band,0.1,1,"Catalog, Search",19,bundle-band2,100,,,,,,
bundle-band3,Default,simple,"Default Category/Gear,Default Category/Gear/Fitness Equipment",base,Pursuit Lumaflex&trade; Tone Band,A band for training,A band,0.1,1,"Catalog, Search",16,bundle-band3,100,,,,,,
bundle-grips1,Default,simple,"Default Category/Gear,Default Category/Collections,Default Category/Gear/Fitness Equipment,Default Category/Collections/New Luma Yoga Collection",base,Go-Get'r Pushup Grips,Grips for training,Grips,0.1,1,"Catalog, Search",19,bundle-grips1,100,,,,,,
bundle-grips2,Default,simple,"Default Category/Gear,Default Category/Gear/Fitness Equipment",base,Power Pushup Grips,Grips for training,Grips,0.1,1,"Catalog, Search",15,bundle-grips2,100,,,,,,
bundle-dynamic-enabled,Default,bundle,"Default Category/Gear,Default Category/Gear/Fitness Equipment",base,Training Bundle (Dynamic price enabled),This is a bundle product with enabled dynamic price,Bundle with enabled Dynamic Price,,1,"Catalog, Search",,bundle-dynamic-enabled,100,"name=Pushup grips,type=select,required=1,sku=bundle-grips1,default=0,default_qty=1|name=Pushup grips,type=select,required=1,sku=bundle-grips2,default=0,default_qty=1|name=Tone band,type=radio,required=1,sku=bundle-band1,default=0,default_qty=1|name=Tone band,type=radio,required=1,sku=bundle-band2,default=0,default_qty=1|name=Tone band,type=radio,required=1,sku=bundle-band3,default=0,default_qty=1|name=Backpack,type=checkbox,required=1,sku=bundle-backpack1,default=0,default_qty=1|name=Backpack,type=checkbox,required=1,sku=bundle-backpack1,default=0,default_qty=1|name=Yoga equipment,type=multiselect,required=1,sku=bundle-brick,default=0,default_qty=1|name=Yoga equipment,type=multiselect,required=1,sku=bundle-roller,default=0,default_qty=1",Dynamic,Price range,Dynamic,Dynamic,together
bundle-dynamic-disabled,Default,bundle,"Default Category/Gear,Default Category/Gear/Fitness Equipment",base,Training Bundle (Dynamic price disabled),This is a bundle product with disabled dynamic price,Bundle with disabled Dynamic Price,,1,"Catalog, Search",123,bundle-dynamic-disabled,0,"name=Pushup grips,type=select,required=1,sku=bundle-grips1,price=10.0000,default=0,default_qty=1,price_type=fixed|name=Pushup grips,type=select,required=1,sku=bundle-grips2,price=10.0000,default=0,default_qty=1,price_type=fixed|name=Tone band,type=radio,required=1,sku=bundle-band1,price=15.0000,default=0,default_qty=1,price_type=percent|name=Tone band,type=radio,required=1,sku=bundle-band2,price=15.0000,default=0,default_qty=1,price_type=percent|name=Tone band,type=radio,required=1,sku=bundle-band3,price=15.0000,default=0,default_qty=1,price_type=percent|name=Backpack,type=checkbox,required=1,sku=bundle-backpack1,price=20.0000,default=0,default_qty=1,price_type=fixed|name=Backpack,type=checkbox,required=1,sku=bundle-backpack1,price=20.0000,default=0,default_qty=1,price_type=fixed|name=Yoga equipment,type=multiselect,required=1,sku=bundle-brick,price=5.0000,default=0,default_qty=1,price_type=percent|name=Yoga equipment,type=multiselect,required=1,sku=bundle-roller,price=5.0000,default=0,default_qty=1,price_type=percent",Fixed,As low as,Fixed,Fixed,separately